ID_CAMARA	LUGAR_INFR	AMBITO	TIPOVIA	VIA	NUMERO_PK	UTM_X	UTM_Y	LATITUD	LONGITUD
1	C Pedro Rico 213	Interior M-30	Calle	Pedro Rico	213	441,555.75	4,481,256.59	40.48	-3.69
2	Po Castellana 259 C1	Interior M-30	Paseo	Castellana	259	441,861.02	4,481,195.27	40.48	-3.69
3	Po Castellana 259 C2	Interior M-30	Paseo	Castellana	259	441,861.02	4,481,195.27	40.48	-3.69
4	Po Castellana 259 VS	Interior M-30	Paseo	Castellana	259	441,861.02	4,481,195.27	40.48	-3.69
5	C Mauricio Legendre - Verjas	Interior M-30	Calle	Mauricio Legendre	0	442,067.70	4,481,296.23	40.48	-3.68
6	Av Burgos - frente n38	Interior M-30	Avenida	Burgos	0	442,723.26	4,481,206.71	40.48	-3.68
7	Salida M30 Tunel Pio XII	Interior M-30	Avenida	Pio XII	0	442,869.02	4,480,479.39	40.47	-3.67
8	Av Burgos 8	Interior M-30	Avenida	Burgos	8	442,718.17	4,480,485.98	40.47	-3.68
9	Av Pio XII 100	Interior M-30	Avenida	Pio XII	100	442,678.44	4,480,467.86	40.47	-3.68
10	Av Pio XII - entrada tunel	Interior M-30	Avenida	Pio XII	0	442,652.56	4,480,464.17	40.47	-3.68
11	Av Burgos 9	Interior M-30	Avenida	Burgos	9	442,689.21	4,480,302.05	40.47	-3.68
12	Av Pio XII - frente n98	Interior M-30	Avenida	Pio XII	0	442,743.37	4,480,400.55	40.47	-3.68
13	Av Pio XII 77	Interior M-30	Avenida	Pio XII	77	442,902.48	4,479,983.68	40.47	-3.67
14	Cta Sagrado Corazón 2 C1	Interior M-30	Cuesta	Sagrado Corazón	2	443,049.74	4,479,742.81	40.47	-3.67
15	Cta Sagrado Corazón 2 C2	Interior M-30	Cuesta	Sagrado Corazón	2	443,049.74	4,479,742.81	40.47	-3.67
16	C Costa Rica 17 C1	Interior M-30	Calle	Costa Rica	17	443,095.10	4,478,873.41	40.46	-3.67
17	C Costa Rica 17 C2	Interior M-30	Calle	Costa Rica	17	443,095.10	4,478,873.41	40.46	-3.67
18	Av Alfonso XIII - frente n7	Interior M-30	Avenida	Alfonso XIII	0	443,314.85	4,478,970.08	40.46	-3.67
19	C Federico Salmón 34	Interior M-30	Calle	Federico Salmón	34	443,343.14	4,478,976.86	40.46	-3.67
20	Av Alfonso XIII 113	Interior M-30	Calle	Alfonso XIII	113	443,366.47	4,478,889.32	40.46	-3.67
21	Av Ramón y Cajal 81 C1	Interior M-30	Avenida	Av Ramón y Cajal	81	443,522.52	4,478,195.90	40.45	-3.67
22	Av Ramón y Cajal 81 C2	Interior M-30	Avenida	Av Ramón y Cajal	81	443,522.52	4,478,195.90	40.45	-3.67
23	Po Cerezos - Av. Ramon Cajal	Interior M-30	Paseo	Cerezos	0	443,593.17	4,478,220.12	40.45	-3.67
24	Av America VS - A2PK4.000 ENT	Interior M-30	Avenida	América	4	443,599.12	4,477,164.30	40.44	-3.67
25	Av America - A2PK4.000 ENT C1	Interior M-30	Avenida	América	4	443,605.73	4,477,152.26	40.44	-3.66
26	Av America - A2PK4.000 ENT C2	Interior M-30	Avenida	América	4	443,605.73	4,477,152.26	40.44	-3.66
27	Av Brasilia 33	Interior M-30	Avenida	Brasilia	33	443,913.71	4,476,907.07	40.44	-3.66
28	Av Brasilia - junto n31	Interior M-30	Avenida	Brasilia	31	443,917.46	4,476,773.28	40.44	-3.66
29	Av Bonn - junto n23	Interior M-30	Avenida	Bonn	23	443,917.13	4,476,649.40	40.44	-3.66
